FEATURE_ENABLE_MULTIPLE_SITE_SUPPORT,Multiple site support (site switch),True,true false
FEATURE_ENABLE_LOCAL_LANGUAGE_SUPPORT,Local language support on device,True,true false
BLUETOOTH_READER_TYPE,Bluetooth card reader type,2.0,
FEATURE_ENFORCE_LAST_MALE_SIGNOFF,Feature to enable male buddy in login and logout trip,False,True
Platform Properties
Property,Description,Default Value,New Value
EMERGENCY_FEATURE_ON,Is SOS/Panic alert enabled from device,False,true false
SPEEDING_ALERT_ON,Is overspeeding alert enabled,True,true false
DEAD_LEG_SPEED_LIMIT_IN_KM_HR,Speed in KMPH to raise overspeeding alert during dead leg,80.0,60.0
SERVER_URL,Server URL,http://concentrix4.moveinsync.com:8080/NCBlr/,
ENABLE_VEHICLE_STOPPAGE_ALERT,Vehicle stoppage alert to be triggered from device (for new security dashboard),True,True
FORCE_DISABLE_SMS_USAGE,Set to true if you want to stop device from sending SMS.,False,False
""




















































































































































































































































































































































































































































































































































































































































































































































































































































































































































