BLOCK_CALENDAR_FOR_X_MINS,"Controls how long the room's calendar is blocked around a meeting, in minutes."
INVITE_VISITOR_FROM_ROOMS,Enabled the Meeting and Visitor booking workflow from meeting booking from on web and mobile.
dynamicFieldLabel,Customizes the label text for the meeting request section on meeting booking form.
dynamicFieldsConfigForRooms,This controls the dynamic fields aka custom fields for the catering workflow where we can define different types of fields - their header and the type of input values.
iadeaLightsBrightness,This property controls colour and brightness of led lights of IADEA Device for Meeting Rooms Kiosk.
Show_Room_If_Not_Eligible,Controls visibility of ineligible rooms.
RoomBookingEmailEnabled,Controls the emails sent to additional recipients.
sendRoomBookingEmailToAllParticipants,Controls whether booking emails are sent to all participants.
organiserBookingEmailsMeetingRooms,Controls whether the organizer receives booking emails.
roomBookingsEmailList,Defines additional recipients for meeting room booking emails.
room_cancel_cutoff,Defines cancellation cut-off time in minutes for meeting room bookings.
releaseRoomEmailList,"Additional email recipients for release room notifications, other than organiser of the meeting which was released."
Room_Kiosk_With_Cisco,Meeting Rooms Kiosk workflow - Enables Cisco-related fields in the Meeting Rooms settings page under the Kiosk column.
IS_WIS_CALENDAR,Indicates whether the BUID has Native Meeting Room setup enabled.
